Setting TVC to zero positions...
Beginning Tare...
Continuing with final countdown...
T-10
T-9
T-8
T-7
T-6
T-5
T-4
T-3
T-2
T-1
Ignition
Force in Newtons: 
1.1948124122 1.4579812049 0.7837650775 
1.2034341096 1.4381960868 0.7878396987 
1.2230668067 1.3425338268 0.7552672386 
1.2675298452 1.3389433622 0.7272943973 
1.1598578691 1.2609574794 0.7401683807 
1.3149735927 1.2678120136 0.6919720649 
1.2629727125 1.1710450649 0.6969967365 
1.3423411846 1.2000198364 0.7043961524 
1.3996874046 1.1694381237 0.7043461322 
1.4252814292 1.1510589122 0.6964217185 
1.4641773700 1.1369482278 0.7042211532 
1.4676505088 1.1041568517 0.6900722503 
1.4900422096 1.0593639612 0.6931970119 
1.5189371109 1.1150035858 0.7179201126 
1.4709020614 1.0620002746 0.7263195037 
1.5251200199 1.0429179668 0.7166952133 
1.5316971778 1.0393275022 0.7128455162 
1.5375845432 1.0429179668 0.7132205009 
1.5394320487 1.0407335758 0.7260944843 
1.5268444061 1.0398297309 0.7407683372 
1.5304653644 1.0350090265 0.7501676082 
1.5305640697 1.0314687490 0.7357687473 
1.4874802589 1.1065672636 0.7355188369 
1.4211183547 1.0204461812 0.7657664299 
1.4116098880 0.9592073440 0.9307288169 
1.2539569139 1.0671223402 1.0138974189 
1.3760886192 1.1942701339 0.7168702125 
1.4110925197 1.1063412427 0.7091707706 
1.3550518751 1.0556981563 0.9306788444 
1.2611252069 1.0589119195 0.9717256546 
1.2742054462 1.0311172008 0.9536520004 
1.2539322376 1.0397042036 0.9520771980 
1.2669879198 1.0464833974 0.9395030975 
1.2693773508 1.0483163595 0.9390281677 
1.2420344352 1.0394279956 0.9406281471 
1.2189037799 1.0332012176 0.9329536437 
1.2088288068 1.0314937829 0.9163048744 
1.1993449974 1.0260202884 0.9107803344 
1.1799339056 1.0178600549 0.9156800270 
1.1607939004 0.9846419334 0.8951815605 
1.1213067770 1.0177847146 0.9324036598 
1.1817814064 1.0155251026 0.8501850128 
1.1576408147 1.0325232744 0.9075555801 
1.1947385025 1.0523335933 0.8802076339 
1.1868066787 1.0542167425 0.9212045669 
1.1956253051 1.0404574871 0.9414779663 
1.1786283254 1.0560244321 0.9141300201 
1.1938024711 1.0527353286 0.9086555480 
1.1976945400 1.0519068241 0.9144300460 
1.1986305713 1.0545179843 0.9184547424 
1.2102575302 1.0560998916 0.9208295822 
1.2214163541 1.0569283962 0.9250792503 
1.2251607179 1.0545682907 0.9212545394 
1.2332895994 1.0544929504 0.9330286026 
1.2368367910 1.0526349544 0.9309288024 
1.2364673614 1.0413613319 0.9198796272 
1.2404086589 1.0416375398 0.9219545364 
1.2333142757 1.0369925498 0.9339035987 
1.2333142757 1.0242124795 0.9185047149 
1.2286585569 1.0198436975 0.9134301185 
1.2471828460 1.0276020765 0.9112052917 
1.2323288917 1.0239614248 0.9250291824 
1.2436109781 1.0130141973 0.9027810096 
1.2385119199 1.0263215303 0.8966314315 
1.2188053131 1.0201449394 0.9205796241 
1.2075232267 1.0140185356 0.9126301765 
1.1488220691 0.9240810394 0.8305365562 
0.9471002578 0.7087533950 0.6687988281 
0.6428546428 0.4578223705 0.4311920166 
0.3513444423 0.2248185396 0.2097589731 
0.1553620719 0.0902889728 0.0751442527 
0.0737027645 0.0278700685 0.0245481228 
0.0258649396 0.0155419578 0.0134239733 
0.0308901309 -0.0055237970 0.0027747879 
0.0022416281 0.0004268389 -0.0206734180 
0.0192632217 -0.0197099132 -0.0104991972 
-0.0053946876 -0.0204882645 -0.0193235216 
0.0086955461 -0.0179523410 -0.0212733745 
0.0038920578 -0.0227480030 -0.0315975856 
-0.0003941324 -0.0246813321 -0.0084243564 
-0.0017243292 -0.0251081681 -0.0084993495 
0.0006897318 -0.0235263562 -0.0157987928 
0.0088187131 -0.0208899974 -0.0144488945 
0.0041137576 -0.0239280891 -0.0138489413 
0.0117993390 -0.0202873992 -0.0165487346 
0.0102228093 -0.0176510438 -0.0183735942 
0.0086955461 -0.0196848049 -0.0186235761 
0.0052222542 -0.0152406587 -0.0177986392 
0.0033008589 -0.0179523410 -0.0181236133 
-0.0013301968 -0.0233254885 -0.0162987542 
-0.0049266552 -0.0278700685 -0.0180736179 
-0.0086709136 -0.0295774221 -0.0211983776 
-0.0102720761 -0.0295021009 -0.0219483232 
-0.0111588740 -0.0302302360 -0.0217483353 
-0.0042369232 -0.0296276378 -0.0216983413 
-0.0034486584 -0.0300042629 -0.0190985383 
-0.0062322187 -0.0327912688 -0.0209483981 
-0.0070697507 -0.0320631313 -0.0194485130 
-0.0104445087 -0.0334943008 -0.0191485357 
-0.0102720761 -0.0346994924 -0.0199734706 
-0.0115037405 -0.0341220021 -0.0208734059 
